sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
1,400,200,7.2,0.1,100,429.09545388217487,163.73548812167635,7.236866216906989,0.053850350229045454,4.499872631786027
1,400,200,7.2,0.2,100,431.63945195324993,158.76954131187205,7.25654123576327,0.17220373752605483,4.499257193240964
1,400,200,7.4,0.1,100,422.702233838323,158.8692156330997,7.445815347650965,0.04201846608046846,4.498991142220735
1,400,200,7.4,0.2,100,422.2509325001195,153.60093416143502,7.464409257251711,0.16758729832907582,4.4992992779242105
1,400,200,7.6,0.1,100,419.34235923809604,174.08748742580673,7.647548722063723,0.04892416844178954,4.503263628704785
1,400,200,7.6,0.2,100,422.81808541432315,165.25409341630234,7.6662071201062885,0.16837380822656028,4.499731450995569
1,500,50,7,0.1,100,515.0888488830191,37.05017195895589,7.038857744681262,0.08044825405618944,4.501249525330806
1,500,50,7,0.2,100,516.5252049154562,27.44334960150573,7.055892683302613,0.1877353153287455,4.500609361124436
1,500,50,7.2,0.1,100,516.9498949081786,37.13786081801508,7.238145188126587,0.0769626043275983,4.502476498452877
1,500,50,7.2,0.2,100,521.6570006057416,31.455270418966347,7.252534916682609,0.1858167524144618,4.498147824694313
1,500,50,7.4,0.1,100,524.6004714951692,45.58951905166858,7.4355247683527965,0.04975338350727014,4.499545242847522
1,500,50,7.4,0.2,100,529.4767941047743,40.47321493090355,7.4507029336525745,0.16461963794976361,4.501333264716096
1,500,50,7.6,0.1,100,524.8104637500269,58.41702174478889,7.638858887659619,0.04135074886080543,4.4990939923914794
1,500,50,7.6,0.2,100,528.2523947862097,55.887255266990394,7.657867036838729,0.15865467677770428,4.502745851795906
1,500,100,7,0.1,100,519.6594177667148,71.87991961768225,7.036921902024767,0.07680819091767963,4.499793856641171
1,500,100,7,0.2,100,521.1097075696215,61.55387507469793,7.056350432662425,0.18169524061094042,4.499067449174754
