sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
10,200,50,7.2,0.1,100,206.71625651194017,41.002753493093934,7.185423243420737,0.10180200136090317,4.497402981507647
10,200,50,7.2,0.2,100,203.81697056134564,39.96190214612952,7.184519594485044,0.1893686836833004,4.500313906358252
10,200,50,7.4,0.1,100,216.09608908738068,46.88222458729052,7.383361707452144,0.11129055010109065,4.499163983444178
10,200,50,7.4,0.2,100,211.97151615086236,46.4287979353724,7.382022787443668,0.19574500275456266,4.50005161764222
10,200,50,7.6,0.1,100,223.83624033107273,53.41257114548472,7.583371700180445,0.11336973095991718,4.502459320778337
10,200,50,7.6,0.2,100,220.91655239746245,54.5509910941958,7.5810947767474115,0.19459699588806031,4.499733414808655
10,200,100,7,0.1,100,181.58806602793382,60.24484120175771,6.988297936778234,0.09223329753566102,4.500120727736921
10,200,100,7,0.2,100,176.324620838501,66.2725396314672,6.990519983571486,0.17904905339121815,4.499301112176846
10,200,100,7.2,0.1,100,189.09368776966178,64.17100633632221,7.18551309375293,0.10478358373133714,4.500886888819471
10,200,100,7.2,0.2,100,181.18137519506354,66.33956295275438,7.187974030270606,0.18832962141310358,4.500333798587711
10,200,100,7.4,0.1,100,197.90257784169077,57.01529520760733,7.382928435019643,0.10838869329923191,4.500169971840511
10,200,100,7.4,0.2,100,195.2791716372268,63.74950252148802,7.380346936844678,0.19731211549985378,4.5001131782166155
10,200,100,7.6,0.1,100,202.96119468033015,64.8153215496403,7.584798719891706,0.11043003385355288,4.499500925253505
10,200,100,7.6,0.2,100,205.16459988730352,64.41344441861791,7.579042070049529,0.1959743341965081,4.499389401578306
10,200,200,7,0.1,100,153.04362831065043,141.49386565931798,6.9817404386190285,0.09123829315163595,4.4987202657635175
10,200,200,7,0.2,100,152.91349062349096,141.29780917106459,6.977260653452891,0.18322958555508012,4.500334326987217
10,200,200,7.2,0.1,100,162.6561461204475,127.21275970232486,7.177526689984987,0.0962564988441865,4.50025039833969
10,200,200,7.2,0.2,100,157.75566365263373,132.8816446289392,7.1743963263166535,0.19127536008077908,4.498958402425057
10,200,200,7.4,0.1,100,168.53027247178224,121.85160351678479,7.378653027287491,0.10332708298018552,4.501547961608452
10,200,200,7.4,0.2,100,158.66114958815803,126.89564483992164,7.3798329473293895,0.20027804301071495,4.500712883930731
10,200,200,7.6,0.1,100,176.30206798403998,112.11068613389213,7.578985800862673,0.11003332823673274,4.502875658886156
10,200,200,7.6,0.2,100,172.56402638841766,130.28016657625474,7.575656047014383,0.19814521916930453,4.499224583960904
10,300,50,7,0.1,100,295.3248077915244,25.572410215514303,6.992881043355597,0.0756231948343956,4.49924626962978
10,300,50,7,0.2,100,295.08022594016114,26.87036858406833,6.989321221656627,0.18282211846364055,4.5018764615698075
10,300,50,7.2,0.1,100,300.31599430257694,27.442576414603092,7.1911485043458905,0.09202748493355034,4.499033840764481
10,300,50,7.2,0.2,100,298.8181379143707,29.36632454493351,7.186623928512607,0.17755987759663497,4.50074818670559
10,300,50,7.4,0.1,100,315.2147882039427,40.536435918407896,7.382465611474464,0.10093417811325421,4.50044790762357
10,300,50,7.4,0.2,100,311.105962487694,35.874493283394585,7.380848597641182,0.18644898178032338,4.499957787711187
10,300,50,7.6,0.1,100,325.70632175065776,47.210844531779436,7.581001304678304,0.1006572388473036,4.49717062654638
10,300,50,7.6,0.2,100,317.893060198836,45.413070294925,7.582186065530775,0.18862022690710115,4.499818135132402
10,300,100,7,0.1,100,279.50687430667193,63.132014742765776,6.991798084833958,0.07638463806735774,4.501704182941351
10,300,100,7,0.2,100,277.0653967940969,65.15552292920786,6.987991696030982,0.17550952741079642,4.4999959383221455
10,300,100,7.2,0.1,100,279.50009622463415,48.776758691847654,7.193468308185927,0.08475941890866635,4.50217106642069
10,300,100,7.2,0.2,100,277.63675502334917,55.25770658767356,7.190734736249226,0.17724242902251755,4.498418420864451
10,300,100,7.4,0.1,100,298.51781406188275,57.86404749741386,7.3829302711472495,0.09733693870332938,4.4966828758683235
10,300,100,7.4,0.2,100,286.86638673013204,60.10171679373928,7.386440373003692,0.18541934267905494,4.500051278573457
10,300,100,7.6,0.1,100,303.65539186096925,65.45842834847494,7.584987542168691,0.1122191294121199,4.500226758831056
10,300,100,7.6,0.2,100,297.4956506480905,67.50181408272987,7.583369081735953,0.19158102402863017,4.501735830434448
10,300,200,7,0.1,100,250.90902949834154,148.04339938448362,6.982802348004132,0.08039892895410912,4.499083673843119
10,300,200,7,0.2,100,245.75493335717397,149.1371075364258,6.9809405769358,0.17926932071517415,4.499419107822481
10,300,200,7.2,0.1,100,257.16396819699037,135.1089759156503,7.182782229626254,0.08346485993143922,4.499384214036416
10,300,200,7.2,0.2,100,253.19300412573713,140.219443009105,7.180729769071057,0.17569656376252685,4.498320325603617
